,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2022 Renault Megane E-Tech,
Vehicle,vehYear,2022,
,vehPtType,BEV,
,dragCoef,0.305,https://www.automobile-catalog.com/car/2022/3083345/renault_megane_e-tech_electric_ev60_220.html#gsc.tab=0
,frontalAreaM2,2.21,https://www.automobile-catalog.com/car/2022/3083345/renault_megane_e-tech_electric_ev60_220.html#gsc.tab=0
,gliderKg,0,
,vehCgM,0.53,positive for FWD
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.685,https://www.automobile-catalog.com/car/2022/3083345/renault_megane_e-tech_electric_ev60_220.html#gsc.tab=0
,cargoKg,0,
,vehOverrideKg,1706,1636 kg + 70 kg; https://web.archive.org/web/20231216162647/https://cdn.group.renault.com/ren/gb/transversal-assets/brochures/mobile-brochure-tech-spec/mobile-tech-spec-megane-electric.pdf
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,0,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,0,
,fuelStorKwhPerKg,0,
,maxFuelConvKw,0,
,fcEffMap,,
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,164.05397184,220 hp
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS / Battery,maxEssKw,1000,
,maxEssKwh,60,https://web.archive.org/web/20231216162647/https://cdn.group.renault.com/ren/gb/transversal-assets/brochures/mobile-brochure-tech-spec/mobile-tech-spec-megane-electric.pdf
,essKgPerKwh,8.9,
,essBaseKg,75,
,essRoundTripEff,0.97,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0,
,maxSoc,1,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,https://www.automobile-catalog.com/car/2022/3083345/renault_megane_e-tech_electric_ev60_220.html#gsc.tab=0
,wheelRadiusM,0.37225,215/55R20; https://www.automobile-catalog.com/car/2022/3083345/renault_megane_e-tech_electric_ev60_220.html#gsc.tab=0
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.25,
,transKg,114.9,
,transEff,0.98,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,7.5,https://web.archive.org/web/20231216162647/https://cdn.group.renault.com/ren/gb/transversal-assets/brochures/mobile-brochure-tech-spec/mobile-tech-spec-megane-electric.pdf
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
