,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2021 Honda N-Box G,
Vehicle,vehYear,2021,
,vehPtType,Conv,
,dragCoef,0.38,https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,frontalAreaM2,2.19,https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,gliderKg,0,
,vehCgM,0.53,positive for FWD
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.52,https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,cargoKg,0,
,vehOverrideKg,1050,
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,2000,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,239.27,7.1 USgal * 33.7 kWh/gal; https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,fuelStorKwhPerKg,9.89,
,maxFuelConvKw,43,https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,fcEffMap,,use default SI fcEffMap
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,2.13,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,0,
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0,
,mcPeBaseKg,0,
ESS / Battery,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,0,
,essBaseKg,0,
,essRoundTripEff,1,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0,
,maxSoc,1,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,
,wheelRadiusM,0.27855,155/65R14; https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.7,
,transKg,114.9,
,transEff,0.95,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,17.1,https://www.automobile-catalog.com/car/2021/2596295/honda_n-box_g.html#gsc.tab=0
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
