,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2022 Renault Zoe ZE50 R135,
Vehicle,vehYear,,
,vehPtType,BEV,
,dragCoef,0.33,https://www.automobile-catalog.com/car/2022/2984435/renault_zoe_r135.html#gsc.tab=0
,frontalAreaM2,2.5121646,1.787 m * 1.562 m * 0.9; https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135
,gliderKg,1502,https://www.renault.co.uk/electric-vehicles/zoe/specifications.html
,vehCgM,0.53,
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.588,https://www.renault.co.uk/electric-vehicles/zoe/specifications.html
,cargoKg,136.8,
,vehOverrideKg,1600,https://www.renault.co.uk/electric-vehicles/zoe/specifications.html
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,0,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,0,
,fuelStorKwhPerKg,9.89,
,maxFuelConvKw,0,
,fcPwrOutPerc,"[0, 0.005, 0.015, 0.04, 0.06, 0.10, 0.14, 0.20, 0.40, 0.60, 0.80, 1.00]",
,fcEffMap,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,61.3,
,fuelConvKwPerKg,2.13,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,100,https://cdn.group.renault.com/ren/gb/transversal-assets/brochures/car-ebrochures/ZOE-eBrochure.pdf.asset.pdf/10202fedd5.pdf
,mcPwrOutPerc,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS / Battery,maxEssKw,1000,Sufficiently high value so as to not impact calculation
,maxEssKwh,54.66,https://www.evspecifications.com/en/model/d323ad
,essKgPerKwh,8.9,
,essBaseKg,326,https://cdn.group.renault.com/ren/gb/transversal-assets/brochures/car-ebrochures/ZOE-eBrochure.pdf.asset.pdf/10202fedd5.pdf
,essRoundTripEff,0.97,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0.029,(54.66-52.0)/54.7; https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110#charge-table
,maxSoc,0.98,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.009,
,wheelRadiusM,0.31045,195/55R16
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.25,
,transKg,114.9,
,transEff,0.92,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,,
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
