Param Name,Param Value
fc_c_kj__k,193.6134296
fc_l,0.276223689
fc_htc_to_amb_stop,7.231333272
fc_coeff_from_comb,0.000370665
tstat_te_sto_deg_c,85
tstat_te_delta_deg_c,5
rad_eps,6.330558106
fc_model,
Internal,
Exponential,
offset,4.036805344
lag,53.02434113
minimum,0.380851487
FuelConverter,
ess_c_kj_k,200
ess_htc_to_amb,5
cabin_hvac_model,External
cab_c_kj__k,125
cab_l_length,2
cab_l_width,2
cab_r_to_amb,0.02
cab_htc_to_amb_stop,10
exhport_model,External
exhport_ha_to_amb,5
exhport_ha_int,100
exhport_c_kj__k,10
cat_model,External
cat_l,0.5
cat_c_kj__K,15
cat_htc_to_amb_stop,10
cat_te_lightoff_deg_c,400
cat_fc_eta_coeff,0.3
hvac_model,External
