,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2017 Maruti Dzire VDI,
Vehicle,vehYear,2017,
,vehPtType,Conv,
,dragCoef,0.375,https://www.iosrjournals.org/iosr-jmce/papers/vol13-issue3/Version-1/R130301114118.pdf
,frontalAreaM2,2.1347,85% * 1.735m * 1.515m = 2.23424625m²; https://www.iosrjournals.org/iosr-jmce/papers/vol13-issue3/Version-1/R130301114118.pdf
,gliderKg,0,
,vehCgM,0.53,positive for FWD
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.45,https://www.cardekho.com/overview/Maruti_Dzire_2017-2020/Maruti_Dzire_2017-2020_VDI.htm
,cargoKg,0,
,vehOverrideKg,1072.5,https://www.cardekho.com/overview/Maruti_Dzire_2017-2020/Maruti_Dzire_2017-2020_VDI.htm
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,2000,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,370.4078843,37L * 10.0110239kWh/L = 370.4078843
,fuelStorKwhPerKg,0,
,maxFuelConvKw,55.196704,74.02bhp; https://www.cardekho.com/overview/Maruti_Dzire_2017-2020/Maruti_Dzire_2017-2020_VDI.htm
,fcEffMap,,use default diesel fcEffMap
,fcEffType,Diesel,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,0,
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0,
,mcPeBaseKg,0,
ESS / Battery,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,0,
,essBaseKg,0,
,essRoundTripEff,1,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0,
,maxSoc,1,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,
,wheelRadiusM,0.3098,165/80R14
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.8,
,transKg,0,
,transEff,0.95,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,13.03,https://www.cardekho.com/overview/Maruti_Dzire_2017-2020/Maruti_Dzire_2017-2020_VDI.htm
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
