,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2023 Volvo C40 Recharge,
Vehicle,vehYear,2023,
,vehPtType,BEV,
,dragCoef,0.319,https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,frontalAreaM2,2.54,https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,gliderKg,0,
,vehCgM,0.53,positive for AWD
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.702,https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,cargoKg,0,
,vehOverrideKg,2620,https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,0,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,0,
,fuelStorKwhPerKg,0,
,maxFuelConvKw,0,
,fcEffMap,,
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,299.771,https://web.archive.org/web/20240112163733/https://www.motorcarsvolvocars.com/volvo-c40-recharge-model-review-bedford-oh.htm
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS / Battery,maxEssKw,1000,
,maxEssKwh,78,75 kWh usable; https://web.archive.org/web/20240112163733/https://www.motorcarsvolvocars.com/volvo-c40-recharge-model-review-bedford-oh.htm
,essKgPerKwh,8.9,
,essBaseKg,75,
,essRoundTripEff,0.97,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0.02,75 kWh usable; https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,maxSoc,0.98153846153,75 kWh usable; https://web.archive.org/web/20230322230545/https://www.media.volvocars.com/global/en-gb/models/c40-recharge/2023/specifications
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,
,wheelRadiusM,0.356,255/40R20; https://www.edmunds.com/volvo/c40-recharge/2023/features-specs/
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.25,
,transKg,114.9,
,transEff,0.98,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,4.7,https://web.archive.org/web/20240112163733/https://www.motorcarsvolvocars.com/volvo-c40-recharge-model-review-bedford-oh.htm
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
